epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2065,1.09849,2.93672,2.89453,1.34284,0,0.01154,0.75,0.16967,0.09407,0.01205,0.78333,0.16591,0.0653,0.73413,1.95113,2.83689,1.11097,0,6e-05,6e-05,6e-05
2,52.8406,0.86557,2.18652,2.77047,1.15857,0,0.01487,0.96667,0.38352,0.24673,0.01436,0.93333,0.354,0.2049,0.66312,1.88689,2.73389,1.02713,0,0.000138614,0.000138614,0.000138614
3,77.1121,0.75296,1.77366,2.51074,1.08715,0,0.01462,0.95,0.51042,0.34821,0.01436,0.93333,0.51608,0.3053,0.69543,1.67918,2.7264,1.04108,0,0.000215644,0.000215644,0.000215644
4,101.415,0.80017,1.89849,2.27502,1.10459,0,0.01487,0.96667,0.56733,0.40561,0.01462,0.95,0.56097,0.3804,0.73352,1.51862,2.6137,1.0605,0,0.00029109,0.00029109,0.00029109
5,126.044,0.82002,1.56719,2.03636,1.1089,0,0.01513,0.98333,0.48446,0.35099,0.01487,0.96667,0.4575,0.31313,0.79906,1.74923,2.68356,1.16159,0,0.000364952,0.000364952,0.000364952
6,150.328,0.75457,1.63791,1.89344,1.07777,0,0.01513,0.98333,0.54955,0.41275,0.01487,0.96667,0.54089,0.36112,0.76303,1.74314,2.63021,1.10498,0,0.00043723,0.00043723,0.00043723
7,175.766,0.78685,1.52379,1.74564,1.08201,0,0.01513,0.98333,0.63221,0.49856,0.01487,0.96667,0.62868,0.40801,0.68252,1.69371,2.50803,1.02355,0,0.000507924,0.000507924,0.000507924
8,235.026,0.79532,1.39692,1.58356,1.06183,0,0.42178,0.76667,0.68487,0.51895,0.42178,0.76667,0.68765,0.47907,0.68616,1.38877,2.40353,1.00943,0,0.000577034,0.000577034,0.000577034
9,279.755,0.77287,1.41234,1.46133,1.08628,0,1,0.15154,0.67955,0.52174,1,0.15154,0.71169,0.43718,0.75072,1.74945,2.30701,1.0711,0,0.00064456,0.00064456,0.00064456
10,305.315,0.78289,1.35868,1.31129,1.09757,0,0.94645,0.29474,0.662,0.50007,0.94645,0.29474,0.64969,0.43472,0.82774,1.67764,2.31094,1.11338,0,0.000710502,0.000710502,0.000710502
11,341.808,0.81081,1.38562,1.26612,1.10441,0,1,0.3808,0.6276,0.46759,0.87142,0.35,0.55863,0.29731,0.83915,2.39468,2.31104,1.11658,0,0.00077486,0.00077486,0.00077486
12,365.983,0.83345,1.34074,1.20868,1.10624,0,0.85064,0.56959,0.64254,0.48873,0.85064,0.56959,0.63194,0.42025,0.85955,2.14618,2.13437,1.14684,0,0.000837634,0.000837634,0.000837634
13,389.493,0.76572,1.22284,1.14178,1.05445,0,0.8855,0.51558,0.66868,0.49812,0.88223,0.49942,0.64511,0.46429,0.85232,1.86139,2.18367,1.15616,0,0.000898824,0.000898824,0.000898824
14,412.882,0.76382,1.25428,1.13894,1.06765,0,0.83003,0.48843,0.65489,0.4711,0.83003,0.48843,0.64369,0.4242,0.88465,1.96013,2.20599,1.15696,0,0.00095843,0.00095843,0.00095843
15,436.483,0.78557,1.32476,1.16695,1.06533,0,0.76531,0.48924,0.6257,0.43611,0.74546,0.46667,0.60461,0.39625,0.85847,2.14699,2.16147,1.11516,0,0.00101645,0.00101645,0.00101645
16,459.505,0.75454,1.1691,1.11434,1.05769,0,0.74485,0.43799,0.56364,0.41782,0.71996,0.41667,0.51705,0.29002,0.80231,2.88565,2.16686,1.05985,0,0.00107289,0.00107289,0.00107289
17,482.864,0.75044,1.26361,1.09504,1.03239,0,0.78114,0.47598,0.61283,0.45119,0.75457,0.41004,0.50573,0.29751,0.80729,3.03368,2.0643,1.08452,0,0.00112774,0.00112774,0.00112774
18,506.235,0.77025,1.25958,1.09253,1.04629,0,0.52511,0.53333,0.55339,0.38456,0.44879,0.45,0.45662,0.26156,0.86667,3.28215,1.95523,1.15575,0,0.00118101,0.00118101,0.00118101
19,529.422,0.73222,1.20449,1.06745,1.02832,0,0.61046,0.65301,0.63411,0.47292,0.58134,0.62491,0.58082,0.31733,0.84744,3.06956,1.85615,1.10105,0,0.0012327,0.0012327,0.0012327
20,552.344,0.76845,1.17755,1.1097,1.04883,0,0.62331,0.63432,0.69628,0.49212,0.62904,0.62181,0.68182,0.42496,0.84045,2.3351,1.8133,1.12417,0,0.0012828,0.0012828,0.0012828
21,576.21,0.74759,1.15398,1.00954,1.0277,0,0.77544,0.56667,0.6949,0.44693,0.66825,0.51667,0.60343,0.29367,0.96383,4.19186,1.9328,1.26079,0,0.00133132,0.00133132,0.00133132
22,600.109,0.80031,1.29641,1.0378,1.05155,0,0.69374,0.55,0.68328,0.44759,0.64806,0.53333,0.58889,0.31506,0.93651,3.38194,1.87465,1.22368,0,0.00137825,0.00137825,0.00137825
